Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
52,,,,,,transect butte mercator 8,4.61943466,50.66904521,179.789,Global,0.156,0.196,0.387,0.250,1.914,m,SINGLE,NONE,2026-03-11 10:08:00.0 UTC+01:00,2026-03-11 10:08:05.0 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
53,,,,,,transect butte mercator 9,4.61943293,50.66902782,180.437,Global,0.120,0.190,0.305,0.225,1.914,m,SINGLE,NONE,2026-03-11 10:08:17.8 UTC+01:00,2026-03-11 10:08:22.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
54,,,,,,transect butte mercator 10,4.61943588,50.66900344,176.964,Global,0.194,0.167,0.340,0.256,1.914,m,SINGLE,NONE,2026-03-11 10:08:59.6 UTC+01:00,2026-03-11 10:09:04.6 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
55,,,,,,transect butte mercator 11,4.61944615,50.66899033,177.445,Global,0.174,0.163,0.330,0.238,1.914,m,SINGLE,NONE,2026-03-11 10:09:17.8 UTC+01:00,2026-03-11 10:09:22.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
56,,,,,,transect butte mercator 12,4.61945615,50.66898057,177.681,Global,0.136,0.156,0.272,0.207,1.914,m,SINGLE,NONE,2026-03-11 10:09:37.4 UTC+01:00,2026-03-11 10:09:42.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
57,,,,,,transect butte mercator 13,4.61945323,50.66897246,179.009,Global,0.131,0.150,0.320,0.199,1.914,m,SINGLE,NONE,2026-03-11 10:10:00.8 UTC+01:00,2026-03-11 10:10:05.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
58,,,,,,transect butte mercator 14,4.61945323,50.66895608,179.716,Global,0.148,0.149,0.301,0.210,1.914,m,SINGLE,NONE,2026-03-11 10:10:18.4 UTC+01:00,2026-03-11 10:10:23.4 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
59,,,,,,transect butte mercator 15,4.61945285,50.66894397,181.218,Global,0.151,0.163,0.324,0.222,1.914,m,SINGLE,NONE,2026-03-11 10:10:50.2 UTC+01:00,2026-03-11 10:10:55.2 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
60,,,,,,transect butte mercator 16,4.61943214,50.66893674,182.468,Global,0.242,0.223,0.435,0.329,1.914,m,SINGLE,NONE,2026-03-11 10:11:38.0 UTC+01:00,2026-03-11 10:11:43.0 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
61,,,,,,transect butte mercator 17,4.61943740,50.66892035,181.712,Global,0.203,0.240,0.458,0.315,1.914,m,SINGLE,NONE,2026-03-11 10:12:10.0 UTC+01:00,2026-03-11 10:12:15.0 UTC+01:00,26,1.7,2.1,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
