Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
31,,,,,,transect escalier lavoisier 11,4.61936468,50.66891373,177.725,Global,0.005,0.007,0.016,0.009,1.914,m,FIX,NONE,2026-03-11 09:56:58.2 UTC+01:00,2026-03-11 09:57:03.2 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
32,,,,,,transect escalier lavoisier 12,4.61936872,50.66886996,177.740,Global,0.010,0.014,0.037,0.017,1.914,m,FIX,NONE,2026-03-11 09:57:29.4 UTC+01:00,2026-03-11 09:57:34.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
33,,,,,,transect escalier mercator 1,4.61942188,50.66887796,177.649,Global,0.007,0.008,0.022,0.011,1.914,m,FIX,NONE,2026-03-11 09:58:24.8 UTC+01:00,2026-03-11 09:58:29.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
34,,,,,,transect escalier mercator 2,4.61942124,50.66890844,177.659,Global,0.022,0.015,0.015,0.027,1.914,m,FIX,NONE,2026-03-11 09:59:19.0 UTC+01:00,2026-03-11 09:59:24.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
35,,,,,,transect escalier mercator 3,4.61941587,50.66895292,177.829,Global,0.022,0.028,0.093,0.036,1.914,m,FLOAT,NONE,2026-03-11 09:59:50.8 UTC+01:00,2026-03-11 09:59:55.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
36,,,,,,transect escalier mercator 4,4.61941498,50.66896412,177.250,Global,0.005,0.009,0.012,0.010,1.914,m,FIX,NONE,2026-03-11 10:00:16.4 UTC+01:00,2026-03-11 10:00:21.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
37,,,,,,transect escalier mercator 5,4.61941134,50.66898975,176.793,Global,0.006,0.011,0.012,0.012,1.914,m,FIX,NONE,2026-03-11 10:00:41.2 UTC+01:00,2026-03-11 10:00:46.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
38,,,,,,transect escalier mercator 6,4.61941015,50.66900081,176.348,Global,0.005,0.007,0.012,0.009,1.914,m,FIX,NONE,2026-03-11 10:01:04.6 UTC+01:00,2026-03-11 10:01:09.6 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
39,,,,,,transect escalier mercator 7,4.61940767,50.66904995,175.854,Global,0.004,0.008,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 10:01:44.0 UTC+01:00,2026-03-11 10:01:49.0 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
40,,,,,,transect escalier mercator 8,4.61939847,50.66910392,175.879,Global,0.009,0.008,0.012,0.012,1.914,m,FIX,NONE,2026-03-11 10:02:16.8 UTC+01:00,2026-03-11 10:02:21.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
41,,,,,,transect escalier mercator 9,4.61939761,50.66911398,175.464,Global,0.005,0.009,0.013,0.010,1.914,m,FIX,NONE,2026-03-11 10:02:37.8 UTC+01:00,2026-03-11 10:02:42.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
42,,,,,,transect escalier mercator 10,4.61939438,50.66913976,174.979,Global,0.005,0.007,0.011,0.008,1.914,m,FIX,NONE,2026-03-11 10:03:01.6 UTC+01:00,2026-03-11 10:03:06.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
43,,,,,,transect escalier mercator 11,4.61939318,50.66915050,174.530,Global,0.004,0.006,0.011,0.007,1.914,m,FIX,NONE,2026-03-11 10:03:35.6 UTC+01:00,2026-03-11 10:03:40.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
44,,,,,,transect escalier mercator 12,4.61939267,50.66916016,174.173,Global,0.004,0.008,0.011,0.008,1.914,m,FIX,NONE,2026-03-11 10:04:08.8 UTC+01:00,2026-03-11 10:04:13.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
45,,,,,,transect butte mercator 1,4.61943862,50.66916353,174.245,Global,0.005,0.008,0.016,0.009,1.914,m,FIX,NONE,2026-03-11 10:05:07.2 UTC+01:00,2026-03-11 10:05:12.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
46,,,,,,transect butte mercator 2,4.61943784,50.66915179,174.447,Global,0.004,0.008,0.014,0.009,1.914,m,FIX,NONE,2026-03-11 10:05:44.0 UTC+01:00,2026-03-11 10:05:49.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
47,,,,,,transect butte mercator 3,4.61943850,50.66913914,174.845,Global,0.013,0.036,0.029,0.038,1.914,m,FLOAT,NONE,2026-03-11 10:06:03.0 UTC+01:00,2026-03-11 10:06:08.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
48,,,,,,transect butte mercator 4,4.61944554,50.66911486,175.103,Global,0.013,0.024,0.045,0.027,1.914,m,FLOAT,NONE,2026-03-11 10:06:31.6 UTC+01:00,2026-03-11 10:06:36.6 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
49,,,,,,"transect butte mercator 5
",4.61944800,50.66910156,175.490,Global,0.014,0.023,0.046,0.027,1.914,m,FLOAT,NONE,2026-03-11 10:06:56.4 UTC+01:00,2026-03-11 10:07:01.4 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
50,,,,,,transect butte mercator 6,4.61944527,50.66908448,175.783,Global,0.013,0.027,0.047,0.030,1.914,m,FLOAT,NONE,2026-03-11 10:07:23.2 UTC+01:00,2026-03-11 10:07:28.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
51,,,,,,transect butte mercator 7,4.61943387,50.66906776,176.376,Global,0.013,0.025,0.059,0.028,1.914,m,FLOAT,NONE,2026-03-11 10:07:40.4 UTC+01:00,2026-03-11 10:07:45.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
